playerName,team
Aaron Finch,RCB
AB de Villiers,RCB
Adam Gilchrist,KXIP
Adam Voges,KKR
Aditya Tare,MI
Ajinkya Rahane,DC
Albie Morkel,CSK
Alex Hales,SRH
Alfonso Thomas,MI
Ambati Rayudu,CSK
Amit Mishra,DC
Amit Singh,KXIP
Andre Russell,KKR
Andrew McDonald,RCB
Andrew Symonds,SRH
Andrew Tye,RR
Angelo Mathews,DC
Anil Kumble,RCB
Ankit Rajpoot,RR
Ankit Sharma,DC
Ashish Nehra,CSK
Ashish Reddy,SRH
Ashok Dinda,RCB
Axar Patel,DC
Azhar Mahmood,KXIP
Basil Thampi,SRH
Ben Cutting,SRH
Ben Hilfenhaus,CSK
Ben Rohrer,DC
Ben Stokes,RR
Bhuvneshwar Kumar,SRH
Biplap Samantray,RR
Bipul Sharma,SRH
Brad Hodge,RR
Brad Hogg,KKR
Brendon McCullum,CSK
Brett Lee,KKR
Cameron White,SRH
Chris Gayle,KXIP
Chris Lynn,MI
Chris Morris,DC
Chris Woakes,DC
Colin de Grandhomme,KKR
Corey Anderson,RCB
Dale Steyn,RCB
Dan Christian,KXIP
Daniel Smith,CSK
Daniel Vettori,RCB
David Hussey,CSK
David Miller,RR
David Warner,SRH
David Wiese,CSK
Deepak Chahar,CSK
Deepak Hooda,KXIP
Dhawal Kulkarni,MI
Dimitri Mascarenhas,KXIP
Dinesh Karthik,KKR
Dirk Nannes,CSK
Doug Bollinger,CSK
Dwayne Bravo,CSK
Dwayne Smith,CSK
Evin Lewis,MI
Faf du Plessis,CSK
Gautam Gambhir,KKR
George Bailey,KXIP
Glenn Maxwell,KXIP
Glenn McGrath,KKR
Graeme Smith,RR
Gurkeerat Mann Singh,RCB
Harbhajan Singh,CSK
Hardik Pandya,MI
Harmeet Singh Bansal,KXIP
Harshal Patel,DC
Hashim Amla,DC
Herschelle Gibbs,DC
Imran Tahir,CSK
Iqbal Abdulla,KKR
Irfan Pathan,CSK
Ishan Kishan,MI
Ishant Sharma,DC
Ishwar Pandey,CSK
Jacques Kallis,RCB
Jagadeesha Suchith,KXIP
James Faulkner,RR
James Franklin,RR
James Hopes,KKR
Jason Roy,SRH
Jasprit Bumrah,MI
Jaydev Unadkat,RR
Jesse Ryder,RCB
Johan Botha,RR
Jos Buttler,RR
JP Duminy,DC
Kamran Akmal,KXIP
Kane Richardson,SRH
Kane Williamson,SRH
Karn Sharma,CSK
Karun Nair,KXIP
Kedar Jadhav,CSK
Kevin Pietersen,RCB
Kevon Cooper,KXIP
Kieron Pollard,MI
Krunal Pandya,MI
Kuldeep Yadav,KKR
Kumar Sangakkara,KXIP
Lakshmipathy Balaji,CSK
Lasith Malinga,MI
Laxmi Ratan Shukla,KKR
Lendl Simmons,MI
Lokesh Rahul,KXIP
Luke Pomersbach,KKR
Mahela Jayawardene,KXIP
Manan Vohra,RR
Mandeep Singh,KXIP
Manish Pandey,SRH
Manoj Tiwary,RR
Marcus Stoinis,DC
Mark Boucher,RCB
Matthew Hayden,CSK
Mayank Agarwal,CSK
MF Maharoof,MI
Michael Hussey,CSK
Michael Lumb,DC 
Mitchell Johnson,MI
Mitchell Marsh,SRH
Mitchell McClenaghan,MI
Mitchell Starc,RCB
Mohammed Siraj,RCB
Mohit Sharma,DC
Moises Henriques,SRH
Morne Morkel,DC
MS Dhoni,CSK
Munaf Patel,MI
Murali Kartik,RCB
Murali Vijay,CSK
Mustafizur Rahman,SRH
Muttiah Muralitharan,CSK
Nathan Coulter-Nile,MI
Nitish Rana,KKR
NK Patel,KXIP
Owais Shah,KKR
Parvinder Awana,KXIP
Pat Cummins,KKR
Paul Collingwood,RR
Pawan Negi,RCB
Piyush Chawla,CSK
Pragyan Ojha,SRH
Praveen Kumar,DC
Pravin Tambe,KKR
Prithvi Shaw,DC
Quinton de Kock,MI
Rahul Dravid,RCB
Rahul Sharma,RR
Rahul Tripathi,KKR
Rajat Bhatia,KKR
Ramesh Powar,KKR
Rashid Khan,SRH
Ravi Bopara,KXIP
Ravichandran Ashwin,DC
Ravindra Jadeja,CSK
Rishabh Pant,DC
Rishi Dhawan,MI
Robin Uthappa,RR
Roelof van der Merwe,RCB
Rohit Sharma,MI
Ross Taylor,RCB
RP Singh,DC
Ryan Harris,RR
Ryan ten Doeschate,KKR
SA Asnodkar,KKR
Sachin Tendulkar,MI
Salman Butt,KXIP
Sam Billings,CSK
Sanath Jayasuriya,MI
Sandeep Sharma,SRH
Sanju Samson,RR
Saurabh Tiwary,MI
Shadab Jakati,CSK
Shahbaz Nadeem,SRH
Shakib Al Hasan,SRH
Shane Warne,RR
Shane Watson,CSK
Shanthakumaran Sreesanth,KXIP
Shardul Thakur,CSK
Shaun Marsh,KXIP
Shaun Tait,RR
Shikhar Dhawan,DC
Shreyas Gopal,RR
Shreyas Iyer,DC
Shubman Gill,KKR
Siddarth Kaul,SRH
Siddharth Trivedi,DC
Simon Katich,KXIP
Sourav Ganguly,KKR
Sreenath Arvind,RCB
Steve Smith,RR
Stuart Binny,RR
Subramaniam Badrinath,CSK
Sunil Narine,KKR
Sunny Sohal,KKR
Suresh Raina,CSK
Suryakumar Yadav,MI
Thisara Perera,CSK
Tillakaratne Dilshan,RCB
Travis Head,RCB
Trent Boult,MI
Umesh Yadav,RCB
Varun Aaron,RR
Vijay Shankar,SRH
Vinay Kumar,RCB
Virat Kohli,RCB
Virender Sehwag,KXIP
Washington Sundar,RCB
Wayne Parnell,SRH
Wriddhiman Saha,SRH
Yo Mahesh,RR
Yusuf Pathan,SRH
Yuvraj Singh,MI
Yuzvendra Chahal,RCB
Zaheer Khan,MI